,Avicii
31,"So bold and fine. I've known you for some time. Whole life changed while. Bones like yours and mine. Go dance in the woods and. Down we go, down, down. Oh boy, you're mine. Do you remember old times?Oh dear boy, I wanna follow you. You're a wild boy, I am a wild girl too. Oh dear boy, it's so hollow without you. In a world with everything but it won't doOh dear boy, I wanna follow you. You're a wild boy, I am a wild girl too. Oh dear boy, so shallow without you. It's our time for everything and I call youSweet love of mine, destruction ain't a crime. For those who find love as a game like you and I. Go dance in the waters of all the tears we've cried. Oh boy, you're fine, do you remember old times?Oh dear boy, I wanna follow you. You're a wild boy, I am a wild girl too. Oh dear boy, it's so hollow without you. In a world with everything but it won't doOh dear boy, I wanna follow you. You're a wild boy, I am a wild girl too. Oh dear boy, so shallow in the blue. It's our time for everything and I call you"
32,I'm gonna love ya. Like no one could. Make your heart feel the way it should. I'm gonna hold ya. When no one would. Cause I swear you deserve so goodLiving up in California. Loving life that I've been waiting for ya. Please my dear don't turn my face. Oh God I hope it's not too lateI'm gonna love ya. I'm gonna love ya. I'm gonna love ya. Like no one could. I'm gonna love ya. Like no one could. Make your heart feel the way it should. I'm gonna hold ya. When no one would. Cause I swear you deserve so goodSometimes it's hard to have the upper hand. When every dream you have is turning into sand. You need someone to make your game. But he took your breath and blew it awayI'm gonna love ya. Like no one could. Make your heart feel the way it should. I'm gonna hold ya. When no one would. Cause I swear you deserve so goodI'm gonna love ya. I'm gonna love ya. I'm gonna love ya. Like no one could. I'm gonna love ya. I'm gonna love ya. I'm gonna love ya. Like no one couldI'm gonna love ya. Like he never could. Cause i know you deserve so good
33,"Lay me. La-la-lay me. La-la-lay me. La-la-lay me down. La-la-lay me. La-la-lay me. La-la-lay me. La-la-lay me down. La-la-lay me. La-la-lay me. La-la-lay me. La-la-lay me downI've been weak, things get tough. Sometimes my knees can barely hold me up. I'm no fool, but it's said. You gotta walk a mile to get outta my headCome within, taste it up. Take a little bit and baby don't you give up. Get your life, give a damn. You gotta make a move and show me where we can standLay me down in darkness. Tell me what you see. Love is where the heart is,. Show me I'm the one, tell me I'm the one that you need,. Come onLay me down in darkness. Tell me what you see. Love is where the heart is. Show me I'm the one, tell me I'm the one that you need,. Come onShow me I'm the one, tell me I'm the one that you need. Show me I'm the one, tell me I'm the one that you needI got the time, it'll be alright, yeah. I got the time that you need, yeahWe all bleed, bleed the same. If you get the picture, leave it outta the frame. In the now, take a chance. Make a mess, and don't forget that life is a danceCome within, taste it up. Take a little bit and baby don't you give up. Get your life, give a damn. You gotta make a move and show me where we can standLay me down in darkness. Tell me what you see. Love is where the heart is. Show me I'm the one, tell me I'm the one that you need,. Come onLay me down in darkness, yeah. Tell me what you see. Love is where the heart is. Show me I'm the one, tell me I'm the one that you needShow me I'm the one tell me I'm the one that you need, yeah. Show me I'm the one tell me I'm the one that you need. Show me I'm the one tell me I'm the one that you need. Show me I'm the one tell me I'm the one that you needMmmm-mmm me, show me baby baby tell me that's me, yeah. I got the time, it'll be alright, yeah. I got the time that you need.. Come on!La-la-lay me. La-la-lay me down. La-la-lay me. La-la-lay me down. La-la- lay me. La-la-lay me down. La-la-lay me. La-la-lay me down. La-la-lay me down in darkness"
34,"Hope there's someone who'll take care of me. When I die, will I go?. And hope there's someone who'll set my heart freeRest alone when I'm tired. There's a ghost on the horizon. When I go to bed. How will I fall asleep tonight?How will I rest my head?. And that sin, I don't want to go. To the seals of war through shame. And there's a ghost on the horizon. When I go to bedOohh...! Oohh...!. Oh I'm scared of the middle place. Between light and nowhere. I don't want to be the oneLeft in there, left in there. There's a man on the horizon. Wish that I'd go to bed. And if I fall to his feet tonight. Will allow rest my head. And godsend I don't want to go. To the seal's watershed. And there's a ghost on the horizon. When I go to bed. Ohh...! Ohh...!"
35,"So bold and fine. I've known you for some time. Whole life changed while. Bones like yours and mine. Go dance in the woods and. Down we go, down, down. Oh boy, you're mine. Do you remember old times?[Chorus x2]. Go deep boy, I wanna follow you. You're a wild boy, I am a wild girl too. Go deep boy, I don't wanna be with you. There's a time for everything and not for you. Go deep boy, I wanna follow you. You're a wild boy, I am a wild girl too. Go deep boy, I don't wanna be with you. It's our time for everything and I call you[Verse 2]. Bold love O' mine, distraction ain't a crime. For those who find love as a game like you and I. Go dance in the waters of all the tears we cry. Oh boy, you're fine, do you remember old times?[Chorus x2]. Go deep boy, I wanna follow you. You're a wild boy, I am a wild girl too. Go deep boy, I don't wanna be with you. There's a time for everything and not for you. Go deep boy, I wanna follow you. You're a wild boy, I am a wild girl too. Go deep boy, I don't wanna be with you. It's our time for everything and I call youAvicii - Dear Boy Lyrics"
36,"I gave my world away. A million rainy days. Such a shame in a way. And no one else that ISacrificed everything. A million broken dreams. And I don't want to stay. I did it anywayThe stars all rise. The moon won't shine. The stars fall out of the sky. And I could feel your guided light. All through the night. All through your lifeI'll be gone for you know each other. Long, long, gone. Now the world is spinning like the sun. Now the day is burning. I don't mind spending some time on my own"
37,"That's me right there on the corner, listening to wu in my Walkman. Neon lights hit the water, reflecting the city i'm lost in. That's me right there on the corner, I one day would be leaving. For a dream that I didn't have, that i'd one day would believe in. Strange how the same place, I ran from's the same place. I think of whenever the chance comesIt's inevitable cause wherever I go. I hear echoes of a thousand screams. As I lay me down to sleep. There's a black hole deep inside of me. Reminding me. That I lost my backbone, somewhere in StockholmI lost my backbone, somewhere in Stockholm. I'm from a place where we never, openly show our emotions. We drown our sorrows in bottomless bottles. And leave them to float in the ocean. I'm from a place where we never, seperate people from people. Some generalize, but in general I still believe that we are treated as equals. My father, my mother, my sister, my brother, my friends and my family's there. My hope, and my money, my innocence in a sense, almost lost everything hereRight where I was founded, is right where i'll be found dead. These streets are my backbone, until I get back home. I hear echoes of a thousand screams. As I lay me down to sleep. There's a black hole deep inside of me. Reminding meThat I lost my backbone, somewhere in Stockholm. I lost my backbone, somewhere in Stockholm. I'm not alone, I am the fire that burns. Not in the city, but out in the burbs. A river that's dying of thirst I am a reverend. Lying in church, a crack in the patternA miracle waiting to happen. A promise that never was kept. One of those momentsYou'll never forget. I am that feeling inside, that one we all know. But can't really describe. I am the blood spill, but I'm in love still. Somewhere in Stockholm, but I'm not alone. Don't have to get, by on my own. I'm finally home. Hemma i Stockholm. DÃ¤r jag hÃ¶r hemma. I hear echoes of a thousand screams. As I lay me down to sleep. There's a black hole deep inside of me. Reminding me. That I lost my backbone, somewhere in Stockholm. I lost my backbone, somewhere in Stockholm"
38,Ain't nobody gonna tell me shit. I'm still wrapped around your finger tip. and all my friends they love to call me whipped. but what they just don't knowyes I've looked in New York City. and I've looked in Boston too. I found a couple that are pretty. but I'm still gonna stay with youAin't nobody gonna tell me shit. I'm still like around your finger tip. and all my friends they love they call me whipped. but what they just don't knowyes I've looked in San Francisco. and I've looked all through LA. I've looked in Dallas Texas. but did feel the sameSo I looked in beach why city. then I I checked Jack at door. I found a couple that are pretty. but I'm still gonna stay with you. I'm Still gonna stay with you
39,"Liar, liar! Oh you don't ever tell the truth. Liar, liar! Can't nobody see you're fireproof?Follow you to dust. Leavin' footprints on the clouds as we're walkin' home. Iron hearts all turn to rust. By tears and the daze on the diamond street. Kiss these apocalypse (apoca-lips). Chasin' shadows, livin' dreams that don't exist, anymore. We need to find a way. Find a way. Find a way. Find a way. Find a wayWell, we are, who we are, and we're all goin' under. We're the past, we're the last, and will last until we're underLiar, liar! Oh you don't ever tell the truth. Liar, liar! Can't nobody see you're fireproof?All closed and in your head. Counting heartbeats till the feeling's good and gone. On a dark path in a rush. Sky clears all the rain over everything. Hear these apocalypse. Where the whispers and the sand and the sun eclipse, forevermore. We need to find a way. Find a way. Find a way. Find a way. Find a wayWell, we are, who we are, and we're all goin' under. We're the past, we're the last, and will last until we're underLiar, liar! Oh you don't ever tell the truth. Liar, liar! Can't nobody see you're fireproof?People talkin' but I can't hear them, noo!. I just sit there and watch them come and go. There might be something underneath it all. But at least I'll find what I'll find out in the end. At least I'll find what I'll find out in the end"
40,"Ten more days under water. And I already know. I'll be fine. Ten more days till it's over. Till the darkness goes. And I see the lightI'm torn between fulfilling my wildest dreams. To satisfy the beast inside of me. And a grounded love that raises me high above. The grabbing hands of cowards and of thievesTen more days to find my way. Ten more days till I'm awake. Ten more days till I don't have to fight. I don't need a future king. There ain't a prayer that I could sing. Ten more days and I'm gonna make it rightYou see my conscience betrayed me. But baby I'm strong enough. To take the tides. The bed, it trembles beneath me. But wherever the road is rough. You know I'll riseI'm torn between fulfilling my wildest dreams. To satisfy the beast inside of me. And a grounded love that raises me high above. The grabbing hands of cowards and of thievesTen more days to find my way. Ten more days till I'm awake. Ten more days till I don't have to fight. I don't need a future king. There ain't a prayer that I could sing. Ten more days and I'm gonna make it right"
41,"Do you think about me when you're all alone?. The things we used to do we used to be. I could be the one to make you feel that way. I could be the one to set you freeDo you think about me when the crowd is gone?. It used to be so easy, you and me. I could be the one to make you feel that way. I could be the one to set you freeI could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you freeWhen you need a way to beat the pressure down. When you need to find a way to breathe. I could be the one to make you feel that way. I could be the one to set you freeIf you need to see me when the crowd is gone. It used to be so easy can't you see?. I could be the one to make you feel that way. I could be the one to set you free...I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free. I could be the one to make you feel that way. I could be the one to set you free"
42,"Ok?! (Now start singing)Shame on me for loving you. You can't deny that you been untrue. You lie so sweet but you love me deep. Putting out fire with your gasolineWow! Wow!Yeah!After five times, I was born again. You can go to hell with your fucked-up friends. You crazy little bitch in the first degree. Shame on you for loving me. Yeah!. Woah-oh-oh!. Oh-oh!(Oh! My! My!). That's what I get for loving you!. (Lie! Lie! Lie!). No, I can't live without you!. (Why? Why? Why?). And all those things you put me through!. (Cry? Cry? Cry?). Cuz, I get my kicks without you!(That's what I get for loving you). (I could not live without you). (That's what I get for loving you). (I could not live without you)Shame on me for loving you. You can't deny that you've been untrue. You lie so sweet but you love me deep. Putting out fire with your gasoline. Dot-dot-dot! Dot-Up!. Heh-eh-eh!After five times, I was born again. I'mma raise hell to the bitter end. I'm a crazy little bitch in the first degree. Shame on you for loving me. Ha!. Yay, yeah yeah!. Uh, uh, uh!(Oh! My! My!). That's what I get for loving you!. (Lie! Lie! Lie!). No, I can't live without you!. (Why? Why? Why?). And all those things you put me through!. (Cry? Cry? Cry?). Cuz, I get my kicks without you!(But I would leave when, you would not leave me). (And I belive in you). (And I, will end with you, with you)(That's what I get for loving you)"
43,"It feels good in my heart, in my soul. When you're right here beside me. I don't ever want this day to end. Mmm, we can watch the waves, have a Coke. And just sit here beside me. Ah, take a little of my heart againSo we can feel forever, yeah, feel. Together, be real together, and...No one can stop me when I taste the feeling. Nothing could ever bring me down. No one can stop me when I taste the feeling. Nothing could ever bring me downYou make it easier to sing, yeah. You make it easier to sing, yeahMmm, it feels good as we stand on the shore, and our hearts are jumping. Ah, grab another Coke, and let's dive in. Oh, my love, there's a song in my soul when you are around me. You make it easier to sing, yeahSo we can feel forever, yeah, feel. Together, be real together, and...No one can stop me when I taste the feeling. Nothing could ever bring me down. No one can stop me when I taste the feeling. Nothing could ever bring me downWith every fading sunset. We see the stars align. We make the simple moments last for a lifetimeSo we'll feel forever. You and me together. We can stay forever. And be real togetherNo one can stop me when I taste the feeling. Nothing could ever bring me down. No one can stop me when I taste the feeling. Nothing could ever bring me downYou make it easier to sing, yeah. You make it easier to sing, yeah"
44,"Press play, fast forward. Nonstop, we have the beaten path before us. It was all there, in plain sight. Come on people, we have all seen the signs. And we will never get back to. To the old school. To the old grounds, it's all about the newfound. We are the newborn, the one the world about's. (We are the future and we're here to stay)We've come a long way since that day. And we will never look back, at the faded silhouetteWe've come a long way since that dayAnd we will never look back, look back at the faded silhouette. Straight ahead on the path we have before usDay by day, soon the change will come. Don't you know we took a big step forward. Just lead the way and we pull the trigger. Now, we will never get back toTo the old school. To the old grounds, it's all about the newfound. We are the newborn, the one the world about's.. (We are the future and we're here to stay). We've come a long way since that dayAnd we will never look back, at the faded silhouette. We've come a long way since that day (that day...). We've come a long way since that day. And we will never look back, at the faded silhouette. We've come a long way since that day. And we will never look back. Look back, at the faded silhouette"
45,"You can be the potter. I'll be the clay. You can be the blacksmith. And I'll be the bladeYou can be the poet. And I'll be the song. You can be the sunlight. And I'll be the dawnYouBe. Love. I will be your lover. (I'll be your lover)I will be your lover. (I'll be your lover). You. Be. Love. I will be your lover(I'll be your lover). Love you like no other(I'll be your lover)I will be your compassIf you'll be my north. I will be your sailor. If you'll be my shore. You can be the gravity. I'll be the fall. You can be my everything. And I'll be your allYou. Be. Love. I will be your lover. (I'll be your lover). I will be your lover. (I'll be your lover). You. Be. Love. I will be your lover. (I'll be your lover). Love you like no other. (I'll be your lover)If you were heaven I would gladly take my last breath. If you're the edge then I would gladly take the next step. Be the rain. Coming down. Be the flood. Come on take me 'til I, take me 'til I drown. I need you nowYou. Be. Love. I will be your lover. (I'll be your lover). I will be your lover. (I'll be your lover). You. Be. Love. I will be your lover. (I'll be your lover). Love you like no other. (I'll be your lover)You can be the poet. I'll be the song. You can be the sunlight. I'll be the dawn. You can be my everything. I'll be your all"
46,"Looking up. There's always sky. Rest your headI'll take you high. We won't fade into darkness. Won't let you fade into darkness. Why worry now?. You'll be safe. Hold my hand. Just in case. And we won't fade into darkness. Fade into darkness. No, we won't fade into darkness. Fade into darkness. And we won't fade into darkness. Fade into darkness. No, we won't fade into darkness. Fade into darkness. This world can seem. Cold and grey. But you and I. Are here today. And we won't fade into darkness. No, we won't fade into darkness. Nothing to fear. But fear itself. We'll be ok. Just keep the faith. And we won't fade into darkness. Fade into darkness. No, we won't fade into darkness. Fade into darkness. Whoah Whoah, fade into darkness. Whoah Whoah, fade into darkness. Whoah. And we won't fade into darkness (whoah). Fade into darkness (whoah). No, we won't fade into darkness (whoah). Fade into darkness (whoah). Whoah. Fade into darkness"
47,"I tried my best that I could do. Just to find out. I was never yours. I hang on to the words that you said. And I held out when my world was lost. (...). 'Cause I can do so. Yeah, I can do so. Yeah, I can do so much better. I can do so. I can do so. I can do so much better. I tried my best that I could do. Just to find out. I was never yours. I hang on to the words that you said. And I held out when my world was lost. (...). 'Cause I can do so. Yeah, I can do so. Yeah, I can do so much better. I can do so. I can do so. I can do so much better. 'Cause I can do so. Yeah, I can do so. Yeah, I can do so much better. I can do so. I can do so. I can do so much better"
48,"Oh, sometime. I get a good feeling, yeah. And a feeling that I never, never, never, never had before, no. I get a good feeling, yeahOh, sometimes. I get a good feeling, yeah. And a feeling that I never, never, never, never had before, no. I get a good feeling, yeah"
49,"Follow you to dusk. Leaving footprints under clouds as we're walking homeI am hot so, I turn to rust. Bad seeds, I'm a daze on a diamond street. It speaks apocalypse. Chasing shadows, living dreams that don't exist, anymore. We need to find a way. Well, we are, who we are, when we're all going under. When the past with the last and will last until we're under. Well, we are, who we are, when we're all going under. When the past with the last and will last until we're under. Liar liar"
50,"Once upon a younger year. When all our shadows disappeared. The animals inside came out to play. Hey, when face to face with all our fears. Learned our lessons through the tears. Made memories we knew would never fadeOne day my father â he told me. ""Son, don't let it slip away"". He took me in his arms, I heard him say. ""When you get older. your wild life will live for younger days.. Think of me if ever you're afraid.""He said, ""One day you'll leave this world behind. so live a life you will remember."". My father told me when I was just a child. These are the nights that never die. My father told me. These are the nights that never die. My father told meWhen thunder clouds start pouring down. Light a fire they can't put out. Carve their name into those shinning stars. He said, ""Go adventure far beyond these shores.. Don't forsake this life of yours.. I'll guide you home no matter where you are.""One day my father â he told me. ""Son, don't let this slip away."". When I was just a kid I heard him say. ""When you get older. your wild life will live for younger days.. Think of me if ever you're afraid."". He said, ""One day you'll leave this world behind. so live a life you will remember."". My father told me when I was just a child. These are the nights that never die. My father told me. These are the nights that never die. My father told me. (Hey, hey). (Hey)"
51,"I've been a beggar and I've been a king. I've been a loner and I've won the reign. Losing myself just to find me again. I'm a million miles smarter, but I ain't learnt a thing. I've been a teacher and a student of hurtI've kept my word for whatever that's worth. Never been last, but I've never been first. Oh I may not be the best, but I'm far from the worstOh I may not be the best, but I'm far from the worst. Oh I've seen trouble more than any man should bare. But I've seen enough joy, I've had more than my share. I'm still not done, I'm only halfway there. I'm a million miles ahead of where I'm fromBut I still have another million miles to go. Why I keep on searching for the city of gold. I'm gonna follow this yellow brick road. Thinking it maybe, it might lead me home. I'm a million miles farther and a long way from home. I know that there's a plan and [?] mine. I just step back to see the design. My feels are hard, was the hardest of mind. Oh I may not be perfect, but I'm loving this lifeOh I may not be perfect, but I'm loving this life. Oh I've seen trouble more than any man should bare. But I've seen enough joy, I've had more than my share. I'm still not done, I'm only halfway there. I'm a million miles ahead of where I'm from. But I still have another million miles to go"
52,"I was low, didn't believe in getting higher. Didn't know, how easy it is to walk through the fireOh-oh-oh-oh!. You opened the stars in my heart. You let in the light from the dark. It's like the first time I realized that all you need is loveAnd I'm feeling, never letting go. Oh, you take me, somewhere off the globe. Do you feel it? It's like the first time. I realized that all you need is loveYeah, I'm feeling, never letting go. Oh you take me, somewhere off the globe. Do you feel it? It's like the first time. I realized that all you need is loveI was saved, 'cause nothing's too free for my heart's content. All the way, yeah, up to the edge and I'm fine jumpingOh-oh-oh-oh-oh! 'Cause you. Opened the stars in my heart. You let in the light from the dark. It's like the first time I realized that all you need is loveAnd I'm feeling, never letting go. Oh, you take me, somewhere off the globe. Do you feel it? It's like the first time. I realized that all you need is love. Yeah, I'm feeling, never letting go. Oh you take me, somewhere off the globe. Do you feel it? It's like the first time. I realized that all you need is love"
53,"Try'na set myself up for the win. So people got a dream. That's so much bigger. Than the town they're in. So give me love, give me love. Give me peace,. Give me peace of mind. I know that there's an ought. To a start. And I need a little help with mineCalifornia. Don't let me down. Seems so golden. But there's struggle all aroundSunset Jesus. Came to me. He once was a waiter. Now he's a savior. Making money on the streetMy dreams are made of gold. My heart's been broken. And I'm down along the road. But I knowMy dreams keeps fading. Till I get old. Breathe for a minute. Breathe for a minuteI'll be okayStaring at the billboard from the bus. Looking at the faces. Thinking ""That could be anyone of us"". So give me hope, give me hope. Give me hope on this lonely ride. 'Cause I know one day. I'll be the one in the skyCalifornia. Don't let me down. Seems so golden. But there's struggle all around. Sunset Jesus. Came to me. He once was awaiter. Now he's a savior. Making money on the streetMy dreams are made of gold. My heart's been broken. And I'm down along the road. But I know. My dreams keeps fading. Till I get old. Breathe for a minute. Breathe for a minute. (Breathe for a minute) x16. Sunset JesusMy dreams are made of gold. My heart's been broken. And I'm down along the road. But I know. My dreams keeps fading. Till I get old. Breathe for a minute. Breathe for a minute. I'll be okayMy dreams are made of gold. My heart's been broken. And I'm down along the road. But I know. My dreams keeps fading. Till I get old. Breathe for a minute. Breathe for a minute. I'll be okay"
54,"Oh, sometimes. I get a good feeling, yeah. And a feeling that I never, never, never, never had before, no. I get a good feeling, yeahOh, sometimes. I get a good feeling, yeah. And a feeling that I never, never, never, never had before, no. I get a good feeling, yeah"
55,Avicii PlayYour whole lifes been building up this moment. Your whole lifes been building up to this day. Every dream that moved you. Every scarm improved you. Every voice around you. Tells you to believeCHORUS:. You can take it to the top. And youre never gonna stop. In it to win it. O oh o o o oh oh oh. Oh oh oh. Take it to the top. *orgasm part*The stage is yours to show the world what youre made of. This is where you rise and reach for the sky. Nothing gonna stop you. Here because you saw through. Anything to keep you. From what you believeCHORUS:. You can take it to the top. And youre never gonna stop. In it to win it. O oh o o o oh oh oh. Oh oh oh. Take it to the top. *orgasm part*
56,"Alone i'm searching for devotion. In a faded melody. My soul is trying to cross an ocean. Down on bended kneeLocked up my codense and rhyme. Don't know what I try to say. My heart all the time was stolen. By bad poetrySome nights I talk to myself. I say the words that I could say to no one else. And some nights I talk in my sleep. I said the words I never said when you were with meSome nights I talk to myself. I said the words that I can't say to no one else. And some nights I talk in my sleep. I said the words I never said when you were with meI'm gone, the nightmares cut me open. Love's insanity. So long words are left unspoken. Couldn't set them freeWatch all the language run dry. Thoughts go on holiday. My heart, I'm left with a broken. VocabularySome nights I talk to myself. I say the words that I could say to no one else. And some nights I talk in my sleep. I said the words I never said when you were with meSome nights I talk to myself. I say the words that I could say to no one else. And some nights I talk in my sleep. I said the words I never said when you were with me. Some nights I talk to myself. I say the words that I could say to no one else. And some nights I talk in my sleep. I said words I never said when you were with me"
57,"Working my money 'till I get gold. Every Friday mornin'. Working my money if I need more. 'Cause I can't get enoughWorking my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get enoughStarted out with nothing. I still got most of that. The world ain't give me much. I'm positive that's a fact. Everybody said be cool, you be payin' your dues. Make a long story short, I got nothin' to loseWhen I'll get it I ain't never going back again. When I'll get it I ain't never going back again. 100% yeah, pure grinding. When I'll get it I ain't never going back again. When I'll get it I ain't never going back again. 100% yeah, pure grinding. Oh yeah!Working my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get no moreWorking my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get no moreTry to make a dollar out of 50 cents. But I don't understand how the money's spent. My mama told me, boy you ain't got no sense. If you'd put it all together, you'll get to pay the rent. I've been to places, places I never should've been. I caught some changes,. changes that made who I amWhen I'll get it I ain't never going back again. When I'll get it I ain't never going back again. 100% yeah, pure grinding. When I'll get it I ain't never going back again. When I'll get it I ain't never going back again. 100% yeah, pure grinding. Oh yeah!Working my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get no moreWorking my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get no moreWorking my money 'till I get bored. Every Friday mornin'. Working my money 'till I get bored. 'Cause I can't get no more"
58,"Papa, he was gone tryna' make a dime. Mama kept us warm when there was no sunshine. I was busy building up a reputation. Did a lot of things out of desperation. Back up on my feet, got the motivation. Now I found my faith and a good vibrationSearch for you, love of creation. When you're feeling down in this place,. Just replace them. Keep a vision on the one you've been chasing. When the time comes. We'll run to the station. We've been laced with the powers of creation. So when the Sun sets,You bet you must face them. Remember when we were running 'cross the nation. We were living for the here and now. You can't catch me. I'll be gone by the time they come. You can't catch me. The war is already wonEven though the children have sold their guns. We must remember the fallen ones. Remember the fallen onesRaised in the capital of Port-au-Prince. Born with them pillars in them tenementsPapa used to run from the immigration. When we got to the United Station. A teen under pressure had to blend in. Before the guitar I had a MAC 10Search for you, love of creation. When you're feeling down in this place,. Just replace themKeep a vision on the one you've been chasing. When the time comes we'll run to the station. We've been laced with the powers of creation. So when the Sun sets,. You bet you must face them. Remember when we were running 'cross the nation. We were living for the here and nowYou can't catch me. I'll be gone by the time they come. You can't catch me. The war is already won. Even though the children have sold their guns. We must remember the fallen ones. Remember the fallen ones"
59,"I don't know just how it happened,. I let down my guard.... Swore I'd never fall in love again. But I fell hard.Guess I should have seen it coming,. Caught me by surprise.... I wasn't looking where I was going,. I fell into your eyes.I'm addicted to you,. Hooked on your love,. Like a powerful drug. I can't get enough of,. Lost in your eyes,. Drowning in blue. Out of control,. What can I do?. I'm addicted to you...!I'm addicted to you!. Hooked on your love,. Like a powerful drug. I can't get enough of,Lost in your eyes,. Drowning in blue. Out of control,. What can I do?. I'm addicted to you...!"
60,"We've come a long way since that day. And we will never look back at the faded silhouette. We've come a long way since that day. And we will never look back, look back. At the faded silhouette (uette, uette, uette, uette, uette...)Faded silhouetteFaded silhouetteFaded silhouetteF-f-f faded silhouettePress play, fast forwardNon stop we have a beaten path before usfaded, faded,f aded, faded silhouetteF-f-f-fade silhouettePress play,fast forwardNon stop we have a beaten path before usIt was all there. in plain sight. come on people we have almost seen the sights. and we will never get back to. to the old school. to the old grounds. its all about the new found. we are the newborn. the world no all about usFaded silhouetteFaded silhouetteFaded silhouettePress playDum dum dum dum dum dum dum dum.... "
61,"Hey, do you remember we said ""Hello"". And you asked me about my Levi's t-shirt. Said ""You are a friend of mine"". My oh my. You must have saved me 'bout a thousand times. I wouldn't be the one I am today. If you hadn't been a friend of mineI ain't misbehaving, I'm just telling you the truth. Take my love for granted. Yeah, I'd give it all to you. Make me count for something. Yeah, I feel it in my heart. God only knows what I'd have been. If you hadn't been a friend of mineHey! I haven't seen around since high school. How you doing, do you still remember me?. Are you still a friend of mine?. Guess you're still a friend of mine. Guess you're still a friend of mine. Now I see why I get nervous when you look at me. It's like your eyes are trying to tell me something. That you're more than just a friend of mine. That you're more than just a friend of mine, oh myI ain't misbehaving, I'm just telling you the truth. Take my love for granted. Yeah, I'd give it all to you. Make me count for something. Yeah, I feel it in my heart. God only knows what I'd have been. If you hadn't been a friend of mine"
62,"Looking up there's always sky. Rest your head I'll take you high. We won't fade into darkness. Won't let you fade into darkness. Why worry now. You'll be safeHold my hand, just in case. And we won't fade into darkness. Fade into darkness. No we won't fade into darkness. Fade into darknessFade into darkness. Fade into darkness. Fade into darkness. Fade into darknessAnd we won't fade into darkness. Fade into darkness. No we won't fade into darknessThis world can seem cold and gray. But you and I are here today. And we won't fade into darkness. Fade into darkness. Nothing to fear but fear itself. We'll be ok just keep the faith. And we won't fade into darkness"
63,"Oh, oh.... Don't wanna let you go, I'm staying here by your side,. wished I was standing still.. Don't wanna close my eyes and let this night pass me by, won't let it pass me by.. I don't wanna miss a thing, your love is so amazing, so amazing.. If we could spend forever, be apart never, that's alright with me.. I don't wanna miss a thing, your love is so amazing."
64,"Hey brother, there's an endless road to re-discover.. Hey sister, know the water's sweet but blood is thicker.. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.Hey brother, do you still believe in one another?. Hey sister, do you still believe in love, I wonder?. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.What if I'm far from home?. Oh, brother I will hear you call.. What if I lose it all?. Oh, sister I will help you out!. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.Hey brother, there's an endless road to re-discover.. Hey sister, do you still believe in love, I wonder?. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do.What if I'm far from home?. Oh, brother I will hear you call.. What if I lose it all?. Oh, sister I will help you out!. Oh, if the sky comes falling down for you,. There's nothing in this world I wouldn't do."
65,"Yeah, our story goes. He went down to the crossroads. He sat down and kept his eyes closed. Well, everyone has a price, child. And what it cost him. Why is it so?You think you're getting away. No escape from the deal you made. You walked right into his plan. Run as fast as you think you can. Back from wherever you came. Call the devil by any name. Oh no, now know who you'd played. Should have listened to what I'd said. What I'd said, what I'd said, yeah!I don't know if I'll be coming home again, home again. No, I don't know if I'll be coming home. It's a long road to hell without no soulJust when you think you're getting away. No escape from the deal you made. You walked right into his plan. Run as fast as you think you can. Back from wherever you came. Call the devil by any name. Oh no, know now who you'd played. Should have listened to what I'd said. What I'd said, what I'd said, yeah!. 'Cause you're dead and it's a hard road to hell without no soul"
66,"I wasn't always the brightest. Until I learned how to dance. You got me thinking. Love will come around, but youNever gave me a chance. I might not been the tallest. Until I learned how to jump. You got me thinking. Love will come aroundBut you, never say I'm the oneIf I could make you. Make you fall in love with me. If I could make youMake you fall in love. Wish I could make you. Make you make you fall in love. Maybe love will come around. If you want it enoughMaybe love will come around. If you want it enoughLove will come around. Maybe love will come around, for us. I wasn't always the bravest. They say you only live once. So, you got me thinking. I'm so glad I found you. Life's what you make it. So here it comes it goesIf I could make you. Make you fall in love with me. If I could make you. Make you fall in love. Wish I could make you. Make you make you fall in love. Maybe love will come around. If you want it enough. Maybe love will come around. If you want it enough. If you're a true. Believer. If you're a true. Believer. Love will come around. L-la-love will come around for us"
