,Avicii
10,"You're flying high,. but I'm falling to pieces.. Trapped under your spell,. until it releases.I'm drowning without your love,. ooh sweet suffication.. Are you real. Are you real. Are you real. Are you real. Are you really my creation?Well there I go,. dreaming that dream again.. But it seems so real, the taste,. the feel of this love I'm in.I know your out there somewhere,. dreaming of me.. I know your out there,. dreaming of me.. I know your out there somewhere,. dreaming of me.. I know your out there,. dreaming of me.Here I go.You're flying high,. but I'm falling to pieces.. Trapped under your spell,. until it releases.I'm drowning without your love,. ooh sweet suffication.. Are you real. Are you real. Are you real. Are you real. Are you really my creation?Well there I go,. dreaming that dream again.. But it seems so real, the taste,. the feel of this love I'm in.I know your out there somewhere,. dreaming of me.. I know your out there,. dreaming of me.. I know your out there somewhere,. dreaming of me.. I know your out there,. dreaming of me.Here I go.Trapped under your spell,. until it releases."
11,"Oh, sometimes. I get a good feeling, yeah. I get a feeling that I never, never, never, never had before, no. I get a good feeling, yeah. Oh, sometimes. I get a good feeling, yeahI get a feeling that I never, never, never, never had before, no. I get a good feeling, yeah"
12,"I've traveled the world until tonight. But I've never seen a stars come to life. But when I see you the sky turns light. And when the lights gone I'll drown in your eyes. Come with me I'll take you for a ride. Into the night I'll teach you how to fly. Let it go, I'll show you how to dice. So come with me I'll take you lit the lightYou're my destination. You're my destinationI've traveled the world until tonight. But I've never seen a stars come to life. But when I see you the sky turns light. And when the lights gone I'll drown in your eyes. Come with me I'll take you for a ride. Into the night I'll teach you how to fly. Let it go, I'll show you how to dice. So come with me I'll take you lit the lightYou're my destination. You're my destination. You're my destination"
13,"I don't know just how it happened. I let down my guard. Swore I'd never fall in love again. But I fell hardGuess I should have seen it coming. Caught me by surprise. Wasn't looking where I was going. I fell into your eyesYou came into my crazy world. Like a cool and cleansing wave. Before I, I knew what hit me, baby. You were flowing through my veinsI'm addicted to you. Hooked on your love. Like a powerful drug. I can't get enough ofLost in your eyes. Drowning in blue. Out of control. What can I do?. I'm addicted to youMidnight blows in through the window. Dances 'round the room. Got me hypnotized. I'm getting high on the perfumeI couldn't live without you now. Oh, I know I'd go insane. I wouldn't last one night alone, baby. I couldn't stand the painI'm addicted to you. Hooked on your love. Like a powerful drug. I can't get enough ofLost in your eyes. Drowning in blue. Out of control. What can I do?. I'm addicted to you"
14,"Under the tree where the grass don't grow. We made a promise to never get old. You had a chance, and you took it on me. And I made a promise that I couldn't keepHeartache, heartbreak, all over town. But something flipped like a switch when you came around. And I'm in pieces, pick me up, and put me togetherThese are the days we've been waiting for. On days like these, who could ask for more?. Keep them coming 'cause we're not done yet. These are the days we won't regret. These are the days we won't forgetThese are the days we've been waiting for. Rattle the cage, and slam that door. And the world is calling us, but not just yet. These are the days we won't regret. These are the days we won't forgetOut on the midnight, the wild ones howl. The last of the lost boys have thrown in the towel. We used to believe we were stars aligned. You made a wish, and I fell out ofTime flew, cut through, all over town. You make me bleed when I look up, and you're not around. But I'm in pieces, pick me up, and put me togetherThese are the days we've been waiting for. On days like these, who could ask for more?. Keep them coming 'cause we're not done yet. These are the days we won't regret. These are the days we won't forgetThese are the days we've been waiting for. Neither of us knows what's in store. You just roll your window down, and place your bets. These are the days we won't regret. These are the days we'll never forgetAnd these are the days (these are the days). And these are the days (these are the days)"
15,"All my life, I've been learning. I've always lived for today. And I don't know about tomorrow. But I can choose who I becomeGod I wasted too many days. I got led on the wrong way oh. You left on a wednesday. It might've even been your birthday oh. You told me 'you go fuck yourself'. Guess I rubbed you the wrong way oh. I've wasted too many daysAnd we, we burned faster than light. Shot across in the night sky. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than lightGod I wasted too many days. I got led on the wrong way oh. You left on a wednesday. It might've even been your birthday oh. You told me 'you go fuck yourself'. Guess I rubbed you the wrong way oh. I've wasted too many daysAnd we, we burned faster than light. Shot across in the night sky. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than light. We burned faster than light"
16,"We are one. One for sure. All united. You'll want some more. Oh-oh-oh-oh. You make me. Oh-oh-oh-oh. You make meWe are one. One for sure. All united. You'll need no more. Oh-oh-oh-oh. You make me. Oh-oh-oh-ohAll my life, I've been. I've been waiting for someone like you, yeah. All my life, I've been. I've been waiting for someone like you, yeahI've been looking for someone like you, yeah. I've been waiting for someone like you. Like you, like you, like you, like you, yeah. You make meWe are one. One for sure. All united. You'll want some more. Oh-oh-oh-oh. You make me. Oh-oh-oh-oh. You make meWe are one. One for sure. All united. You'll need no more. Oh-oh-oh-oh. You make me. Oh-oh-oh-ohAll my life, I've been. I've been waiting for someone like you, yeah. All my life, I've been. I've been waiting for someone like you, yeahI've been looking for someone like you, yeah. I've been waiting for someone like you. Like you, like you, like you, like you, yeah. You make me"
17,I'd sail away just to follow you. I'd chase the dream across the blue. 'Cause I am rich no matter what I lose. I'd rather risk it all and find the truthIt's all because of our love. Oh all because of our love. All because of our love. It's all because of our loveIt's all because of our love. Oh all because of our love. All because of our love. It's all because of our loveI'm gonna change myself and start anew. Turn myself into someone new. If I can't be with the one I choose. I'd rather leave it all and die with youIt's all because of our love. Oh all because of our love. All because of our love. It's all because of our loveIt's all because of our love. Oh all because of our love. All because of our love. It's all because of our love
18,"City lights, take me your way. Now it's time we never ever head down. Don't be scared, I am for real. Hide our way and we will never be foundIt's alright, we never look back. Birds will sing if we fall. It's alright, with memories inside. Midnight dust on the floorWatch it turn into goldAnd I don't even know what's realAnd I don't know what to feelI'm your truth in the skies. I'm in love with your lies. Cause I can't breathe. Can't settle down. And I don't know what to feelNo I don't know what to feelCities lights we're getting away? won't find us when not making a sound. We're not scared, we are for real. Love can't hurt us now we are sheltered by liesIt's alright, we never look back. Birds will sing if we fall. It's alright, with memories inside. Midnight dust on the floorWatch it turn into goldAnd I don't even know what's realAnd I don't know what to feelI'm your truth in the skies. I'm in love with your lies. Cause I can't breathe. Can't settle down. And I don't know what to feelNo I don't know what to feel"
19,"I gave my world away. A million rainy days. Such a shame in a way. And no one else that ISacrificed everything. A million broken dreams. And I don't want to stay. I did it anywayThe stars all rise. The moon won't shine. The stars fall out of the sky. And I could feel your guided light. All through the night. All through your lifeI'll be gone for you know each other. Long, long, gone. Now the world is spinning, like the sun. Now the day is burning. I don't mind, spending some time, on my own"
