,bounds,labels,bounds_percent
0,14.0,1,10
1,43.0,2,20
2,69.0,3,30
3,80.0,4,40
4,201.0,2,100
0,42.0,1,20
1,91.0,2,50
2,132.0,1,70
3,174.0,2,90
4,187.0,3,100
0,57.0,1,20
1,96.0,2,40
2,129.0,1,50
3,230.0,2,100
4,237.0,3,100
0,33.0,1,20
1,80.0,2,50
2,122.0,2,70
3,135.0,2,80
4,167.0,3,100
0,40.0,1,20
1,50.0,2,20
2,109.0,3,50
3,118.0,2,60
4,206.0,3,100
0,13.0,1,10
1,63.0,2,30
2,209.0,2,90
3,228.0,2,90
4,239.0,3,100
